id,lat,lon,elev_m
KABR,45.455833,-98.413333,421.5
KABX,35.149722,-106.82388,1813.9
KAKQ,36.98405,-77.007361,77.7
KAMA,35.233333,-101.70927,1128.7
KAMX,25.611083,-80.412667,33.8
KAPX,44.90635,-84.719533,475.8
KARX,43.822778,-91.191111,413.6
KATX,48.194611,-122.49569,195.7
KBBX,39.495639,-121.63161,67.4
KBGM,42.199694,-75.984722,519.1
KBHX,40.498583,-124.29216,766.9
KBIS,46.770833,-100.76055,534.9
KBLX,45.853778,-108.6068,1128.7
KBMX,33.172417,-86.770167,231.3
KBOX,41.955778,-71.136861,70.7
KBRO,25.916,-97.418967,26.8
KBUF,42.948789,-78.736781,240.8
KBYX,24.5975,-81.703167,27.1
KCAE,33.948722,-81.118278,105.2
KCBW,46.03925,-67.806431,262.1
KCBX,43.490217,-116.23603,966.8
KCCX,40.923167,-78.003722,757.7
KCLE,41.413217,-81.859867,262.1
KCLX,32.655528,-81.042194,69.8
KCRI,35.238333,-97.46,400.8
KCRP,27.784017,-97.51125,43.3
KCXX,44.511,-73.166431,131.4
KCYS,41.151919,-104.80603,1887.6
KDAX,38.501111,-121.67783,43.9
KDDC,37.760833,-99.968889,814.1
KDFX,29.273139,-100.28033,364.5
KDGX,32.279944,-89.984444,185.6
KDIX,39.947089,-74.410731,70.1
KDLH,46.836944,-92.209722,470.0
KDMX,41.7312,-93.722869,333.8
KDOX,38.825767,-75.440117,50.0
KDTX,42.7,-83.471667,370.6
KDVN,41.611667,-90.580833,259.4
KDYX,32.5385,-99.254333,482.2
KEAX,38.81025,-94.264472,332.8
KEMX,31.89365,-110.63025,1621.2
KENX,42.586556,-74.064083,589.8
KEOX,31.460556,-85.459389,163.7
KEPZ,31.873056,-106.698,1285.6
KESX,35.70135,-114.89165,1508.2
KEVX,30.565033,-85.921667,67.4
KEWX,29.704056,-98.028611,233.8
KEYX,35.09785,-117.56075,875.7
KFCX,37.0244,-80.273969,903.7
KFDR,34.362194,-98.976667,400.8
KFDX,34.634167,-103.61888,1432.0
KFFC,33.36355,-84.56595,296.3
KFSD,43.587778,-96.729444,455.7
KFSX,34.574333,-111.19844,2290.3
KFTG,39.786639,-104.5458,1710.2
KFWS,32.573,-97.30315,236.8
KGGW,48.206361,-106.62469,726.6
KGJX,39.062169,-108.21376,3078.8
KGLD,39.366944,-101.70027,1132.6
KGRB,44.498633,-88.111111,250.9
KGRK,30.721833,-97.382944,183.8
KGRR,42.893889,-85.544889,266.7
KGSP,34.883306,-82.219833,325.8
KGWX,33.896917,-88.329194,179.8
KGYX,43.891306,-70.256361,144.5
KHDC,30.5193,-90.4074,13.1
KHDX,33.077,-106.12003,1301.5
KHGX,29.4719,-95.078733,35.1
KHNX,36.314181,-119.63213,103.6
KHPX,36.736972,-87.285583,186.8
KHTX,34.930556,-86.083611,566.6
KICT,37.654444,-97.443056,426.7
KICX,37.59105,-112.86218,3278.7
KILN,39.420483,-83.82145,356.6
KILX,40.1505,-89.336792,222.8
KIND,39.7075,-86.280278,270.4
KINX,36.175131,-95.564161,228.3
KIWA,33.289233,-111.66991,434.6
KIWX,41.358611,-85.7,321.9
KJAX,30.484633,-81.7019,48.8
KJGX,32.675683,-83.350833,188.4
KJKL,37.590833,-83.313056,445.3
KLBB,33.654139,-101.81416,1029.6
KLCH,30.125306,-93.215889,41.8
KLGX,47.116944,-124.10666,111.6
KLIX,30.336667,-89.825417,54.6
KLNX,41.957944,-100.57622,948.8
KLOT,41.604444,-88.084444,231.6
KLRX,40.73955,-116.8027,2101.6
KLSX,38.698611,-90.682778,220.1
KLTX,33.98915,-78.429108,44.2
KLVX,37.975278,-85.943889,253.9
KLWX,38.976111,-77.4875,123.1
KLZK,34.8365,-92.262194,197.8
KMAF,31.943461,-102.18925,902.8
KMAX,42.081169,-122.71736,2304.6
KMBX,48.393056,-100.86444,484.6
KMHX,34.775908,-76.876189,44.2
KMKX,42.9679,-88.550667,311.8
KMLB,28.113194,-80.654083,45.4
KMOB,30.679444,-88.24,88.1
KMPX,44.848889,-93.565528,335.6
KMQT,46.531111,-87.548333,464.8
KMRX,36.168611,-83.401944,437.1
KMSX,47.041,-113.98622,2431.7
KMTX,41.262778,-112.44777,2009.9
KMUX,37.155222,-121.89844,1082.0
KMVX,47.527778,-97.325556,330.1
KMXX,32.53665,-85.78975,170.7
KNKX,32.919017,-117.0418,320.6
KNQA,35.344722,-89.873333,132.6
KOAX,41.320369,-96.366819,384.7
KOHX,36.247222,-86.5625,206.0
KOKX,40.865528,-72.863917,60.7
KOTX,47.680417,-117.62677,746.5
KOUN,35.236058,-97.46235,391.4
KPAH,37.068333,-88.771944,154.2
KPBZ,40.531717,-80.217967,385.9
KPDT,45.69065,-118.85293,481.6
